video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=KdW5lPgKyMY&pp=ygUObW92ZSB0byBib3N0b24%3D,/@BreakingDownBoston,Breaking Down Boston,"PROS and CONS of living in Boston, MA",35K,11 months,Are you moving to Boston? Check out this video to learn the pros and cons of living in Boston! Chapters: 00:00 - Intro 00:37 - Pro: ...,2024-01-26 21:35:01.949783
/watch?v=RV8JBc0ItQg&pp=ygUObW92ZSB0byBib3N0b24%3D,/@BreakingDownBoston,Breaking Down Boston,"Relocating to Boston: tips, tricks, and things I wish I knew before moving",18K,1 year,Are you moving to Boston? This video provides tips and tricks to make your move to Boston smoother. Boston has some unique ...,2024-01-26 21:35:01.953729
/watch?v=4ASJBXu8tNo&pp=ygUObW92ZSB0byBib3N0b24%3D,/@augustanaVEVO,augustanaVEVO,Augustana - Boston (Official Video),18M,14 years,"--------- Lyrics: In the light of the sun, is there anyone? Oh, it has begun... Oh dear, you look so lost, your eyes are red and tears are ...",2024-01-26 21:35:01.956066
/watch?v=z1SJLbFzUzw&pp=ygUObW92ZSB0byBib3N0b24%3D,/channel/UCpkyspUtZwYhgUkepiREflg,Real Boston Richey,Real Boston Richey - Watch How I Move (Official Video),7.5M,1 year,#RealBostonRichey #PublicHousing.,2024-01-26 21:35:11.419245
/watch?v=ZVRcBf8zydw&pp=ygUObW92ZSB0byBib3N0b24%3D,/@BreakingDownBoston,Breaking Down Boston,Where to Live in Boston,12K,1 year,"If you've moving to Boston and need help figuring out which neighborhood to live in, then you should watch this video! Please let ...",2024-01-26 21:35:11.426233
/watch?v=x-64CaD8GXw&pp=ygUObW92ZSB0byBib3N0b24%3D,/@BlackHigginsClan,Mark Higgins,I'm Shipping Up To Boston - Dropkick Murphys,125M,17 years,Dropkick Murphys perform this song on the waterfront in East Boston. While hanging with hooligans and runnin' from the cops.,2024-01-26 21:35:11.429835
/watch?v=hUrBuix8WvQ&pp=ygUObW92ZSB0byBib3N0b24%3D,/@NickJohnson,Nick Johnson,"Unboxing Boston: What It's Like Living in Boston, Massachusetts",169K,2 years,Is everyone in Boston crazy or what? Are people in Boston stuck up and rude? And does Boston have the most die hard sports ...,2024-01-26 21:35:11.440981
/watch?v=Jed9K8lE02Q&pp=ygUObW92ZSB0byBib3N0b24%3D,/@NBAonTNT,NBA on TNT,The Inside Crew Talks Boston's Dominant Win In MIA + Who Should Make Moves In The East | NBA on TNT,197K,14 hours,"Watch highlights from Inside the NBA with Shaq, Charles Barkley, Kenny Smith and Ernie Johnson and more! Subscribe now to ...",2024-01-26 21:35:11.443881
/watch?v=aftDrlPB5sE&pp=ygUObW92ZSB0byBib3N0b24%3D,/@HadelLynnLeyco,Hadel-Lynn Leyco,What to Know Before Moving to Boston,40K,1 year,"It has been one year since moving to Boston, and I want to address the most frequently asked questions and concerns I get about ...",2024-01-26 21:35:11.450511
/watch?v=T2akScpRsos&pp=ygUObW92ZSB0byBib3N0b24%3D,/@NBC10Boston,NBC10 Boston,Forecast: Snow moves through overnight,293,2 days,"Overnight Tonight: Light snow. Accumulations generally a coating to 2"", highest amounts farthest inland. Lows around 30.",2024-01-26 21:35:11.456620
/watch?v=2YlLLjxDAnk&pp=ygUObW92ZSB0byBib3N0b24%3D,/@LivingBoston,Living Boston,"Top 5 Reasons NOT to Move to Boston: The TRUTH about Living in Boston, MA",14K,1 year,"Boston's a beautiful city to call home, and I love it. But there are some big downsides to living in beantown, so if you're considering ...",2024-01-26 21:35:11.460269
/watch?v=c1jZ26C0NFE&pp=ygUObW92ZSB0byBib3N0b24%3D,/@AmaraOsuji,Amara Osuji,Moving to Boston? || Pros and Cons of Living in Boston,10K,1 year,"In this video I go over the pros and cons of living in Boston. If you are considering moving to Boston, this video is for you. I hope ...",2024-01-26 21:35:11.465884
/watch?v=Ed1INu6vagU&pp=ygUObW92ZSB0byBib3N0b24%3D,/@JoeyandFranci,Joey and Franci,"Watch THIS before Moving to Boston | Living in Boston, MA",6K,3 months,Is it worth moving to Boston? Every city has its pros and cons - Boston is no different. This video focuses on the cons of living in ...,2024-01-26 21:35:11.474049
