video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Cibof3UtgK8&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/@ChelseaCallahan,Chelsea Callahan,Moving to New York City in 2023? What to ACTUALLY expect.,234K,1 year,This is what no one tells you about what living in NYC in 2023 if you're just an average person like me. If you're going to move ...,2024-01-26 21:42:05.528873
/watch?v=KMBLMLq22tw&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/@HereBeBarr,Here Be Barr,10 Things I Wish I Knew Before Moving to NYC...,43K,2 months,"Shout out to our Highline and Higher Members: ActionKid , Chelsea Prince, Robin Palmer, Gerome L David, Susie Okimoto, ...",2024-01-26 21:42:05.531832
/watch?v=UQA4EsdxqJU&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/@iovany_Meslab,iovany_MesLab,Moving to New York! How Does Oyuki Feel about it.....podcast #2,1.9K,17 hours,"Some of the Equipment I use: 36"" cellphone tripod for slots https://amzn.to/2MVsz3Q 60"" cellphone tripod for slots ...",2024-01-26 21:42:05.533984
/watch?v=ZTEN359V8pI&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/channel/UCkFQXXAd61-_jRLSkCLa81w,The Wombats,The Wombats - Moving to New York (Official Video),2.5M,16 years,"Official Video for ""Moving to New York"" by The Wombats Follow The Wombats: Facebook: https://facebook.com/thewombatsuk ...",2024-01-26 21:42:14.346067
/watch?v=83bLfZlBpnU&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/@ShelbyChurch,Shelby Church,Apartment Hunting in NYC in 2023 *with prices*,335K,4 months,"I went to NYC to decide if I want to move here - so I'm taking you all along on some apartment tours! FiDi apartments: 20 Broad, ...",2024-01-26 21:42:14.349717
/watch?v=4X3hDrlc5I4&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/@RRindustry,RRindustry,The Wombats - Moving to New York,3.2M,14 years,"The Wombats are an indie band from Liverpool, UK. They comprise two native Liverpudlians; Matthew Murphy, provider of vocals, ...",2024-01-26 21:42:14.351990
/watch?v=dIJ3ww1-JRg&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/@ColtKirwan,Colt Kirwan,Moving to New York City at 22,266K,7 months,"Moving out of your parents house is a big step in anyones life. In this video, I take you along that journey for me as I move to NYC ...",2024-01-26 21:42:14.354515
/watch?v=aWkwxIJnieU&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/@lenalifts,LenaLifts,moving into my dream NYC apartment: empty apartment tour & living alone!,346K,2 weeks,"I moved into my dream NYC high rise apartment! come move in with me, living alone in NYC, and empty NYC apartment tour ...",2024-01-26 21:42:14.358306
/watch?v=z68vAOQuyho&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/@JENerationDIY,JENerationDIY,moving to New York City alone,208K,7 months,"yes i did just finish my new condo renovations. yes i am going through my quarter life crisis right now. anyway, here's me moving ...",2024-01-26 21:42:14.360743
/watch?v=dNY7e54j4UM&pp=ygUQbW92ZSB0byBuZXcgeW9yaw%3D%3D,/@nk.medani,NK Medani,"Q&A: Living in New York, NYC apartment hunting, dating in my late 20s, my full-time job, NYC recs",632,2 days,Welcome & happy you're here! Let's chat about your questions! QUESTIONS in order: 1. how old are you? 2. how tall are you?,2024-01-26 21:42:14.363054
